,lat,lon,nb_events
479253,41.6904,-106.259,1923
461984,41.2851,-105.3769,1174
463063,41.3136,-105.0324,953
429603,40.5653,-106.9552,891
351092,38.9481,-119.9683,887
376364,39.4151,-119.6557,877
402705,39.9766,-107.4376,838
377421,39.4353,-106.8147,832
531024,43.181,-124.1567,801
343192,38.8011,-107.0042,782
286448,37.5206,-107.6597,779
309342,38.0588,-107.5504,760
361908,39.1332,-107.8549,740
5762,21.897,-160.157,703
5836,22.0073,-159.6639,698
457066,41.1695,-107.099,694
304297,37.939,-118.8867,689
486698,41.8778,-105.2243,680
452268,41.0582,-75.3394,663
609959,48.4447,-116.5661,654
446358,40.9183,-75.7088,643
394001,39.789,-74.1647,639
455658,41.1394,-74.6902,614
463632,41.3277,-104.6546,612
462992,41.3101,-106.3148,610
422335,40.4046,-107.9134,609
450802,41.0243,-124.0956,599
415468,40.2557,-74.0295,588
609687,48.4082,-117.6152,588
359880,39.0952,-74.7718,575
503259,42.342,-124.301,575
404142,40.0076,-75.1338,573
5325,21.4436,-158.1698,573
4825,20.9195,-156.5762,570
400012,39.9191,-74.3099,566
415540,40.2596,-74.2614,565
5609,21.5991,-158.1007,562
375358,39.393,-74.4448,553
384259,39.581,-75.6489,549
98289,32.8411,-79.9437,549
331537,38.5539,-108.4296,537
443923,40.8621,-74.5445,537
403188,39.985,-74.7572,536
336364,38.6653,-75.4181,534
438928,40.7543,-75.3074,530
399963,39.9167,-75.399,527
598028,47.0531,-88.6207,525
364100,39.1768,-74.8227,522
394854,39.8038,-74.9599,522
334004,38.6114,-75.0919,519
308892,38.047,-109.3836,518
422752,40.4164,-75.926,518
342096,38.7829,-120.3423,518
298022,37.7852,-89.3821,515
431869,40.6129,-75.5924,512
421695,40.3903,-106.9616,511
443637,40.8574,-74.997,508
423829,40.4394,-74.4113,508
280897,37.3839,-89.6845,507
390736,39.7173,-75.1419,507
380120,39.4906,-74.6976,503
439451,40.7677,-109.5041,502
271640,37.1915,-89.3376,501
590538,46.4314,-87.6415,500
429575,40.5637,-74.6163,497
252823,36.7479,-101.49,494
466851,41.4005,-105.7614,494
416676,40.2833,-74.7015,492
265104,37.053,-89.5686,492
600369,47.3003,-116.1291,483
429743,40.5672,-74.9123,482
359454,39.0867,-75.5688,480
269372,37.1488,-107.8775,478
590191,46.4099,-86.6019,475
284393,37.4712,-89.2551,474
379259,39.4722,-77.3981,470
310538,38.0875,-88.1795,467
384508,39.5872,-75.3459,464
374391,39.3735,-75.1099,463
147139,34.2304,-117.0957,463
525031,43.0071,-87.9667,459
306753,37.9923,-88.9242,456
295407,37.7303,-88.9299,456
296816,37.7628,-88.2305,456
251465,36.7164,-90.4065,452
365976,39.2153,-119.9149,450
363037,39.1541,-108.6809,449
298436,37.7961,-87.5729,446
267836,37.1126,-90.4614,446
273107,37.2228,-89.1267,445
102755,32.9783,-117.2367,443
350353,38.933,-76.528,443
296465,37.7533,-88.5408,441
257157,36.8555,-89.9444,441
277989,37.3222,-90.0259,439
292012,37.6584,-87.9453,438
294341,37.7071,-89.8244,438
366556,39.2245,-79.2815,438
265132,37.0539,-88.7127,437
132368,33.8486,-117.2412,437
326496,38.4461,-87.8443,437
383937,39.5758,-108.4377,437
197709,35.4013,-101.894,435
280720,37.3809,-108.7278,434
510931,42.5767,-88.0418,433
593436,46.6644,-89.315,432
228257,36.1435,-115.1712,432
310330,38.0816,-88.5392,431
272813,37.219,-88.7078,431
308012,38.0218,-87.8684,430
260364,36.9413,-90.9623,430
283768,37.4596,-88.8809,429
319627,38.3006,-88.924,428
265218,37.0584,-88.9992,427
224902,36.0766,-81.9224,427
516478,42.7477,-88.0551,426
310481,38.0838,-89.3671,426
282033,37.4126,-88.5615,425
246729,36.5942,-89.6516,425
386348,39.6286,-107.0292,424
269052,37.1383,-107.2004,424
249015,36.6528,-90.8639,423
325104,38.4165,-88.0532,422
295431,37.7318,-87.0873,422
525423,43.0181,-88.3045,421
256067,36.8281,-89.2911,421
514131,42.6712,-89.0716,420
527197,43.0674,-89.4183,419
222205,36.0133,-82.1634,418
320103,38.3118,-87.5846,415
286191,37.5182,-88.2669,415
392017,39.7478,-74.5605,415
525606,43.0209,-88.7759,415
325729,38.4295,-88.4256,415
279520,37.3527,-88.0972,414
513937,42.6685,-88.5419,414
385362,39.6037,-77.8142,413
535856,43.3684,-88.2308,412
514298,42.68,-89.6022,410
272348,37.2097,-88.3536,410
105893,33.0713,-116.5324,410
308081,38.0254,-87.5857,409
378737,39.4641,-78.0275,409
310776,38.0922,-87.2721,408
528196,43.0923,-74.9549,407
536985,43.4164,-88.7075,407
277195,37.3088,-87.5409,404
544320,43.7212,-87.9454,404
526072,43.0355,-73.0929,403
217400,35.8989,-82.3076,402
